x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
,A,A,A,A,B,3.52,-0.03,2.56,0.05,0.96,-1.44,1.47,1.38
A,C,B,B,B,B,1.87,0.0,0.87,0.85,11.43,0.63,1.34,0.29
B,B,B,B,A,A,-1.2,0.06,1.16,0.01,2.0,0.73,1.98,0.01
B,C,B,B,B,A,0.22,0.01,-0.38,,-0.17,-0.28,2.47,1.01
C,B,B,A,A,A,0.97,0.32,,0.3,-0.21,-0.18,0.81,-1.68
C,B,B,B,A,A,1.49,0.39,1.78,,4.87,-0.32,2.13,-2.76
B,A,C,B,A,B,2.94,0.35,7.2,1.97,0.08,-1.31,1.11,0.37
B,B,B,A,B,A,1.13,-0.02,,0.15,5.45,1.01,0.58,0.25
A,C,C,A,A,B,2.27,-0.27,,2.0,0.8,-0.81,1.44,0.22
C,B,C,A,A,B,1.06,0.0,1.95,0.0,-0.04,-0.22,0.37,-1.36
A,B,C,B,A,B,0.33,0.0,2.02,5.42,2.58,-1.1,0.31,2.01
A,B,B,B,A,B,1.35,0.6,,,2.9,-0.56,1.59,-2.99
B,A,C,B,A,A,0.21,0.0,0.04,0.26,3.28,3.1,0.38,1.1
B,A,C,A,B,A,2.65,0.18,0.35,0.2,1.11,0.09,0.82,0.29
A,B,B,A,B,A,1.7,-0.16,-1.57,0.06,0.66,1.08,2.58,1.22
C,B,C,A,A,A,1.91,-0.0,0.86,,1.04,-0.1,1.46,-0.23
C,A,D,B,A,B,1.6,0.48,1.57,5.28,0.1,-0.43,1.42,1.68
,A,B,B,A,A,1.66,0.04,0.13,0.06,-0.19,2.22,1.16,2.66
A,B,C,A,B,A,3.21,3.25,-2.19,,-0.1,-0.1,0.55,-1.16
A,C,A,B,A,B,1.27,-0.83,1.75,0.44,-0.22,0.38,0.6,-1.69
B,C,C,B,A,B,-0.32,0.0,,0.72,0.55,-0.16,0.13,1.28
C,B,C,B,A,A,1.46,0.15,1.03,0.22,1.75,1.04,0.89,-0.88
B,C,B,B,B,A,0.78,0.02,,0.13,0.03,0.01,0.54,5.87
,B,B,B,A,A,1.01,1.08,,0.0,14.34,0.99,0.61,0.8
C,A,C,,B,A,-1.67,0.06,-1.08,0.42,0.22,2.19,0.85,0.63
A,C,B,A,A,A,-0.49,-0.21,0.83,2.56,0.39,1.78,3.2,-0.89
C,C,C,A,B,A,1.37,-0.97,,0.99,-0.1,2.28,3.42,0.82
B,C,C,A,A,B,0.55,0.02,,0.48,1.73,1.5,1.32,0.49
C,B,A,B,B,A,0.33,2.29,-0.71,2.91,5.39,0.5,2.19,-0.79
C,C,A,B,B,A,-0.15,0.88,,0.34,1.58,0.66,1.68,-0.9
C,C,A,B,A,A,2.13,1.34,1.14,1.59,1.01,0.8,1.41,-0.47
,B,C,,A,A,-1.17,-0.55,-0.02,,0.18,0.27,0.26,-1.69
B,B,C,B,A,B,1.44,0.01,,0.41,-0.06,-0.8,1.79,-0.68
A,B,C,B,B,B,-0.76,0.05,,0.88,-0.13,1.22,2.79,-1.42
A,A,C,B,A,A,-0.41,0.0,1.44,,4.86,0.16,1.95,-1.59
C,B,B,B,A,A,3.75,5.03,,0.46,3.48,1.82,2.53,-0.61
C,A,C,B,A,B,-0.11,0.0,,0.04,2.78,0.36,2.51,1.8
B,C,B,B,A,A,0.25,0.0,,0.04,3.61,3.82,0.4,0.61
C,C,A,B,A,B,1.75,0.02,2.14,,-0.25,-0.11,0.64,-1.04
B,C,C,B,A,A,-0.26,0.02,7.82,0.39,1.8,1.12,0.24,-0.31
B,B,B,A,A,B,1.9,-0.01,2.03,0.97,2.26,0.99,1.39,0.93
A,C,A,B,A,B,0.94,0.14,-0.17,1.42,0.67,-1.13,1.81,1.62
A,A,C,B,A,B,-1.95,-0.32,-0.31,,0.63,-0.28,0.27,0.66
B,B,B,B,A,A,1.73,0.04,7.7,0.4,4.09,-0.59,0.5,-0.08
A,B,B,B,A,A,-0.78,-0.24,0.31,,-0.17,1.71,0.59,0.07
B,C,B,B,B,A,0.54,1.22,,1.58,-0.25,-0.76,0.01,-1.09
A,C,C,B,A,B,0.11,1.39,-1.8,3.66,0.52,-3.71,0.99,0.15
B,A,C,B,A,B,0.33,-0.06,0.69,0.25,1.88,-0.06,0.72,0.45
B,A,C,A,B,B,-0.07,-0.0,,3.0,0.2,0.71,1.33,-0.25
C,C,A,B,A,B,0.77,0.07,-0.25,0.14,-0.13,-2.18,0.2,1.76
A,A,A,B,A,B,-0.78,-2.12,-0.58,0.19,3.27,1.3,0.33,2.72
,C,D,B,B,A,-0.85,-0.07,,1.01,0.29,-0.24,4.02,1.81
C,C,B,B,B,B,2.0,-0.0,2.14,0.78,-0.25,1.56,0.07,1.59
A,B,D,B,A,B,0.46,-0.0,,,0.14,-1.19,0.58,3.24
B,A,B,B,A,B,0.64,0.0,1.74,3.46,0.01,-0.16,0.37,1.01
A,C,D,B,A,A,-1.19,-0.0,,0.19,4.05,0.71,2.39,1.31
C,A,A,A,B,A,-0.47,-0.23,2.7,1.29,0.28,0.42,2.13,0.03
A,C,A,B,A,A,0.47,-0.05,-1.46,0.0,14.64,1.33,0.92,0.71
B,B,B,B,A,B,1.66,-0.01,,,3.37,-0.36,0.42,-0.39
B,A,C,B,A,B,2.68,0.01,1.26,0.18,2.46,-0.95,0.04,-0.1
,A,B,B,A,B,0.9,0.12,,0.0,1.38,0.04,0.33,0.06
C,C,A,B,A,A,0.73,-0.0,,1.59,-0.21,0.96,0.0,-1.29
A,C,C,B,B,A,-0.97,0.02,-1.36,,1.24,-0.64,2.14,0.03
B,A,B,B,A,A,-1.34,-0.7,-1.37,,-0.08,0.22,1.87,4.46
B,A,B,,A,B,0.16,1.84,1.6,0.05,10.78,-1.02,2.22,-2.65
A,C,D,B,A,A,2.04,-0.0,0.76,1.31,3.41,1.38,2.52,-0.9
C,B,D,A,A,A,1.1,0.19,1.58,0.05,10.68,0.7,0.56,-1.21
A,C,A,B,B,B,3.17,0.44,0.33,0.65,1.6,-0.07,1.01,-1.18
A,C,C,B,A,B,0.17,0.0,,1.45,0.3,-0.01,1.19,-2.51
A,C,B,B,B,B,-0.72,-0.0,0.71,0.1,3.5,-0.05,1.11,1.05
B,C,C,A,B,B,0.03,-0.29,0.08,1.14,1.09,-0.53,1.41,0.32
C,A,B,B,B,A,1.72,-0.0,0.55,0.01,-0.09,-1.73,1.42,-1.09
A,B,B,B,A,B,0.45,0.25,-0.85,1.44,0.37,-1.33,0.49,-0.51
,C,C,A,A,B,1.73,0.14,-0.6,2.6,7.04,0.53,0.56,0.88
C,C,B,B,A,B,0.29,1.08,0.92,0.0,13.58,-0.98,2.76,0.45
B,C,D,A,B,B,3.43,0.96,,0.12,1.28,-1.21,0.49,-2.23
C,A,B,B,B,A,-0.23,-1.29,0.17,2.82,0.97,1.29,1.93,1.91
B,C,B,B,A,B,0.35,0.05,-0.89,1.47,3.85,0.5,0.14,2.18
B,C,A,A,A,A,3.75,0.05,1.47,,1.39,-0.4,0.1,0.97
A,C,B,A,A,A,-0.97,-2.9,,0.98,0.01,0.82,0.55,1.73
A,B,D,A,A,B,-0.84,0.01,,,-0.13,-1.67,1.59,0.08
A,C,A,A,B,B,1.03,-0.0,-1.4,3.0,0.72,-1.6,0.05,1.25
B,C,B,B,B,B,1.57,0.02,0.22,,-0.25,1.92,1.35,0.34
,C,A,B,A,B,2.07,0.0,0.31,,4.54,3.45,0.07,1.92
C,C,C,B,A,A,1.36,-0.0,,0.06,3.94,0.57,1.41,1.38
B,A,B,B,A,A,0.34,-0.0,-0.38,0.0,1.13,-0.49,1.32,0.32
C,C,A,B,B,A,3.37,2.29,,0.98,-0.25,-0.62,0.37,-1.09
,B,B,A,A,A,0.57,-0.01,7.93,0.06,0.27,2.29,1.81,-1.71
A,C,C,B,A,B,1.89,2.34,-0.38,0.33,6.1,-1.88,0.85,-0.54
,C,A,B,B,B,0.64,0.14,,0.87,-0.19,-0.66,1.38,0.9
C,B,B,B,B,A,1.61,0.55,,,0.15,-1.34,0.4,2.8
A,C,B,B,A,A,1.08,-0.28,1.74,3.44,2.86,-1.25,3.54,-0.07
A,C,B,A,B,B,-0.43,-0.01,3.57,,5.69,3.25,0.46,1.07
A,C,C,B,A,B,1.34,0.95,-0.75,2.16,2.32,-0.65,1.3,1.51
A,C,C,B,A,A,0.17,0.0,-1.08,0.66,0.2,-1.98,0.4,-1.54
C,C,C,B,A,B,-1.1,0.0,-0.27,,1.31,-2.34,1.14,0.12
C,C,A,B,A,B,1.68,-0.0,,1.92,1.67,-0.2,1.63,0.78
B,B,B,B,B,A,-0.82,0.71,-0.37,0.04,0.48,-0.28,1.61,-0.32
B,C,D,B,A,A,-1.18,0.27,,0.01,0.68,1.57,0.28,-0.43
B,C,A,B,A,A,0.2,0.48,,0.13,0.2,1.38,0.76,-1.18
A,C,A,,B,A,-1.11,-0.01,,2.19,1.54,1.24,2.85,1.22
,A,C,B,B,B,1.18,1.23,0.19,1.8,0.76,1.69,2.65,5.92
B,C,C,A,B,A,-0.2,0.0,-1.25,1.56,1.38,0.86,0.14,-0.69
A,B,C,B,A,B,1.05,-0.0,,0.16,5.97,1.58,1.59,0.84
B,B,B,B,A,A,2.17,0.0,1.27,,0.13,-0.44,1.18,0.12
A,C,C,B,A,B,2.05,0.01,6.62,1.64,-0.23,-2.31,0.27,-0.67
A,B,D,B,A,A,0.07,1.14,-0.23,0.02,-0.13,0.01,1.84,-0.26
B,A,A,B,A,B,0.91,-0.18,1.62,1.4,0.53,-0.88,1.28,2.27
A,B,C,B,B,A,0.89,1.03,,,0.45,0.33,2.25,-2.49
B,B,D,B,A,B,0.31,-0.4,0.71,,0.18,-1.29,0.24,0.23
A,C,A,B,A,A,2.71,0.0,3.82,,0.46,-0.76,0.97,-4.49
B,C,A,A,A,B,1.09,0.01,1.61,1.2,2.08,0.39,3.35,0.45
C,C,C,A,A,B,0.95,-0.0,0.18,0.18,-0.14,1.68,0.03,-1.45
A,B,A,B,A,A,0.99,0.02,-0.7,0.05,0.13,0.63,0.5,-2.69
A,C,A,B,A,A,1.26,-0.0,-1.7,0.34,7.8,-0.08,0.78,0.69
A,B,C,B,A,B,-0.37,-0.02,,0.05,0.98,0.91,0.75,-0.52
C,C,D,A,A,B,4.0,0.02,-0.63,3.22,1.27,0.12,2.55,-0.21
B,B,B,A,A,A,3.4,1.65,,,0.05,0.67,0.55,-0.44
B,B,C,B,B,A,0.63,0.36,,0.9,0.5,-1.53,0.52,0.18
,B,D,B,A,A,2.23,4.15,,0.4,11.08,-1.02,1.88,-1.81
C,A,C,A,A,A,3.71,0.05,0.77,4.09,2.12,1.07,0.19,1.64
B,C,C,A,A,A,1.79,0.01,-0.79,1.28,1.27,1.13,1.09,-0.79
C,C,B,B,A,B,4.68,-0.0,1.02,4.06,0.26,2.64,0.27,2.67
C,A,C,B,A,B,0.55,0.0,0.56,,2.19,0.29,0.09,2.69
B,A,A,A,A,A,0.36,-0.43,1.34,,3.25,4.6,0.89,-0.68
C,C,D,B,A,A,3.31,0.17,,6.52,1.33,-3.96,1.44,-1.55
B,A,C,,B,B,-0.91,-0.02,,0.03,3.52,-1.03,3.85,0.93
A,C,C,B,A,B,2.21,-0.01,,,-0.23,1.11,0.31,-0.39
B,A,A,B,B,B,-0.77,-0.01,,0.5,0.05,-1.09,0.77,1.0
B,C,C,B,A,B,0.88,0.37,,2.83,-0.17,-2.62,1.36,-3.72
C,C,B,A,B,A,-0.22,3.21,8.2,,0.77,1.23,0.16,0.31
A,B,C,B,A,B,2.24,0.04,0.92,5.4,1.69,0.61,0.28,-0.1
B,C,C,B,B,B,-0.7,-0.02,1.14,1.36,0.01,-1.18,2.83,1.64
B,C,C,B,A,A,1.35,0.21,,4.14,8.76,0.35,0.95,1.6
A,B,A,B,B,A,-0.18,0.21,,0.04,0.31,1.91,0.23,-1.07
C,A,A,A,A,B,1.55,0.26,,0.1,-0.19,2.06,1.77,1.69
B,C,A,A,A,B,2.32,-0.01,1.92,2.13,0.11,0.27,0.61,-2.43
A,B,D,A,A,B,5.52,0.0,1.52,,4.07,3.17,0.51,-1.11
A,A,D,B,B,B,0.53,-0.14,-1.84,6.62,-0.25,-0.22,0.07,1.85
,C,B,B,A,A,-0.65,-0.01,,,-0.25,2.15,0.28,2.13
B,C,C,B,A,A,0.28,-0.04,2.58,0.63,5.7,1.47,1.74,0.6
A,A,B,B,A,B,-0.32,-0.0,,,-0.02,0.2,0.14,0.02
A,B,C,B,A,B,2.84,0.01,,2.84,-0.23,1.44,1.57,-0.15
A,C,C,A,A,A,-0.4,0.8,-1.81,1.64,0.78,-0.53,0.01,-3.76
B,B,B,,A,B,1.07,0.08,0.76,1.6,2.23,0.91,1.82,0.67
C,C,C,A,A,A,0.58,1.3,,4.9,3.69,0.03,1.61,-0.11
A,C,B,B,B,B,-1.92,0.01,,0.42,9.42,0.21,0.91,-0.19
A,C,C,B,B,B,1.2,-0.1,,0.33,0.72,0.65,1.66,1.24
B,B,C,A,A,A,-0.37,-0.04,0.93,0.87,-0.19,1.85,0.04,1.6
,C,B,A,B,A,-1.37,0.09,-0.37,1.91,6.71,0.76,4.43,-0.97
,C,C,,B,A,1.86,0.51,-1.54,0.1,0.68,2.57,1.44,-1.15
B,B,B,B,A,B,1.83,-0.57,0.32,,4.78,1.28,1.0,2.64
B,B,A,A,B,B,1.13,-0.1,-0.34,2.4,-0.2,-0.22,0.47,0.43
,C,A,,A,A,1.07,0.0,,0.03,-0.25,-0.05,2.26,0.19
C,C,C,B,A,A,-0.22,0.0,0.48,,1.65,-0.81,0.94,0.53
A,C,B,B,A,A,-1.04,-0.11,-1.04,0.0,0.9,0.64,0.71,-0.99
,B,A,B,B,B,2.19,-0.01,-2.17,1.65,2.5,0.47,0.21,4.27
A,C,C,B,A,A,-0.32,-0.02,,0.57,4.95,0.19,2.82,-1.26
A,C,C,B,A,B,-0.42,-0.0,-0.22,0.07,-0.08,-1.89,1.96,2.22
A,A,C,B,B,B,-0.62,0.27,,0.52,0.33,-1.24,0.86,-1.14
C,C,C,A,A,B,1.77,-0.05,1.69,3.17,-0.24,0.56,2.32,-0.15
B,B,C,B,A,A,2.21,0.29,-1.18,0.66,7.65,1.24,0.45,0.31
C,A,D,B,A,A,0.95,0.18,-0.36,0.07,5.66,0.09,0.33,-0.91
B,B,C,B,A,B,0.74,0.0,,0.35,9.94,0.72,1.72,1.28
B,C,C,A,B,B,0.91,0.43,1.34,0.43,1.12,0.29,0.44,-1.64
B,A,B,B,A,B,0.22,1.95,,,4.81,-1.52,1.78,1.91
B,A,B,,A,A,-1.72,0.15,,1.52,-0.21,-0.66,0.26,0.24
,C,A,B,A,B,3.36,1.48,-1.02,0.1,1.27,-0.21,1.72,0.61
C,B,A,B,A,B,0.62,0.01,,0.14,0.23,-2.11,1.26,1.43
A,B,A,,A,A,-0.12,-0.09,0.46,0.03,3.12,1.04,1.75,0.63
A,A,D,B,A,B,5.8,0.25,0.6,0.58,2.53,-2.4,2.06,1.33
A,B,C,B,A,B,1.92,0.86,2.25,0.36,-0.13,-0.1,0.97,0.45
A,C,B,A,A,B,1.68,-0.06,0.01,,1.8,0.72,2.25,0.68
B,C,B,B,A,B,1.33,0.0,,0.22,-0.14,-0.94,0.62,1.71
A,B,D,B,A,A,0.09,0.5,7.25,0.02,1.3,-1.8,0.81,-0.86
C,A,C,B,B,B,1.33,1.43,0.48,0.55,-0.24,-1.9,0.88,-1.41
C,A,C,B,B,A,1.46,0.75,-1.53,6.86,1.07,-2.57,0.57,-1.46
B,C,A,B,A,B,0.14,0.85,,0.25,4.71,-1.11,1.19,0.48
B,A,B,B,B,A,-0.37,-0.0,1.73,2.12,0.04,-0.22,2.08,0.82
B,C,C,A,B,B,0.44,0.02,-2.89,,-0.24,-0.31,0.05,5.82
C,C,B,A,B,B,-0.14,0.0,-0.8,,1.29,0.46,2.95,-0.18
,A,C,A,B,B,1.55,0.24,1.88,,-0.19,1.39,1.7,-4.89
C,B,A,A,B,A,2.64,-0.0,2.2,0.75,1.93,1.61,0.99,-1.89
A,A,C,,A,B,0.73,0.26,0.58,,1.16,-0.19,0.89,0.88
A,A,C,B,A,B,0.95,0.04,-0.33,2.47,0.22,0.67,1.16,-1.28
A,C,B,B,A,B,5.72,0.0,-0.7,0.03,1.69,-1.43,1.27,0.21
,B,C,A,A,A,-2.48,-0.14,2.36,0.42,-0.16,0.78,1.81,0.61
A,C,A,B,A,A,1.05,0.56,-0.3,,1.19,-2.64,0.29,-1.97
C,B,C,B,A,A,-1.11,0.0,,0.12,0.04,0.36,1.71,0.38
C,C,A,B,A,A,-0.27,-0.01,1.43,0.08,3.19,1.45,2.12,3.01
B,B,B,B,A,B,0.96,-0.0,1.26,0.12,2.38,2.25,1.12,1.21
A,B,C,B,B,B,0.39,-0.02,0.53,0.3,0.64,0.51,0.78,0.47
B,C,C,A,A,A,-0.34,0.16,-0.66,1.7,2.01,0.33,1.59,1.45
B,C,B,B,A,A,-0.52,-0.35,2.19,,-0.23,1.43,0.9,0.05
B,A,C,B,B,A,0.92,0.44,,,0.92,0.37,1.49,-3.28
C,C,A,B,A,B,-0.05,-0.13,,2.14,9.44,-0.1,1.64,1.28
B,C,D,B,A,A,1.15,-0.11,,0.54,-0.25,0.99,0.93,-0.63
C,B,A,,B,A,-0.32,-0.0,-0.15,2.57,2.11,1.76,3.36,2.14
B,B,C,B,A,B,1.45,-0.0,,,-0.0,-0.78,0.51,0.99
A,C,C,B,B,B,2.49,0.24,-0.14,0.59,0.59,-1.63,0.07,-1.52
B,B,A,B,B,B,1.04,0.04,,0.0,-0.24,0.01,1.3,1.59
A,A,C,B,B,B,-0.2,-0.03,0.23,0.23,0.89,-0.26,2.55,1.37
C,B,D,B,A,B,0.37,0.11,,0.25,0.3,-1.72,0.12,1.23
B,C,A,B,A,B,4.02,5.44,2.06,0.47,4.5,1.56,2.78,-0.28
A,B,C,B,B,B,0.95,0.47,-0.03,1.23,1.77,-3.11,1.52,-1.35
A,B,A,B,A,B,2.39,-0.4,,0.02,1.76,-2.02,0.01,0.14
,B,C,B,B,B,1.5,0.34,0.63,,6.01,-1.22,1.06,-0.59
,B,C,B,A,A,1.67,2.49,,1.84,13.54,2.57,2.52,6.21
,B,C,B,A,A,1.32,-0.2,-0.48,0.53,1.42,-0.91,0.64,1.24
C,C,D,A,A,B,1.17,0.86,,0.14,0.96,-1.51,1.03,-0.42
C,A,C,B,A,A,-0.83,-0.01,,4.36,2.57,0.54,1.32,4.91
A,A,C,B,A,B,1.16,0.5,1.62,0.88,2.59,0.31,1.31,-4.01
C,A,C,B,A,A,0.47,1.53,1.62,4.04,10.53,0.09,1.44,-1.1
A,C,C,B,A,A,2.78,6.59,,0.75,1.17,0.14,1.01,-3.23
,A,C,B,A,B,0.37,-0.0,1.89,2.17,0.12,3.68,0.88,-2.45
B,B,B,A,A,B,1.04,-0.22,,0.0,1.29,-2.11,0.31,-0.39
A,C,B,B,A,B,0.91,-0.01,1.01,0.75,0.49,1.38,0.28,-0.33
B,C,B,A,A,B,-0.16,-0.24,,1.57,-0.23,1.53,0.92,2.1
C,C,A,B,A,A,5.46,0.13,,2.08,1.93,-2.25,2.07,-1.13
C,C,B,,A,A,0.02,-0.01,-0.47,0.08,2.28,1.05,2.42,5.85
B,A,C,A,A,B,1.59,-0.05,2.06,0.1,1.65,-0.26,0.23,-0.76
A,A,A,B,A,B,0.7,-0.11,,2.58,0.41,2.24,0.68,-0.64
B,B,D,B,A,B,2.23,-0.17,3.42,0.0,0.1,1.63,0.67,0.83
B,B,C,,A,B,2.06,1.62,,,2.28,-0.95,1.14,-2.85
B,B,C,B,A,B,2.09,0.0,,0.02,3.31,1.43,0.85,0.08
B,A,C,B,B,B,3.75,-0.43,,0.1,4.52,0.89,2.22,0.33
C,C,B,B,B,B,-0.5,0.52,0.7,0.0,-0.24,0.84,0.14,0.47
A,A,C,A,A,A,0.62,0.15,0.19,,0.51,1.74,1.46,-2.03
,C,C,B,A,A,-1.52,-0.04,,1.62,1.87,2.37,0.91,-1.52
B,A,A,B,A,B,2.77,-0.0,0.39,,1.82,-2.27,0.68,0.76
C,B,D,B,A,B,0.86,0.36,,0.47,0.53,-1.97,1.56,1.27
A,C,C,B,B,B,1.72,0.38,0.35,0.15,-0.16,-1.97,2.0,0.23
C,A,D,A,A,B,2.81,-0.0,0.97,,1.31,-0.12,1.16,-0.59
,C,D,B,B,B,0.86,0.01,0.81,,-0.14,-3.18,4.58,-0.09
A,C,A,A,A,A,0.91,-0.0,2.12,0.03,0.1,-0.61,0.39,0.02
B,C,D,B,A,B,1.12,0.0,0.69,0.84,-0.19,-1.64,0.17,1.93
C,A,D,B,B,A,1.21,0.38,0.68,0.98,-0.1,-0.23,0.03,1.44
C,B,C,B,B,B,3.18,9.22,-0.72,0.02,2.59,-0.52,0.42,-1.02
A,B,C,B,A,B,2.15,-0.24,,2.03,1.42,0.54,0.28,-0.66
C,B,A,B,B,B,-0.06,-0.31,2.02,2.44,5.92,-2.33,2.71,2.34
,B,C,A,A,B,1.16,0.82,1.85,7.83,6.92,-3.39,0.25,1.11
C,B,C,B,A,B,1.35,1.82,,1.96,1.92,-2.94,0.52,0.55
C,C,C,,B,A,1.03,0.97,6.92,0.1,0.7,1.63,0.99,0.1
B,C,A,B,A,A,1.5,0.02,0.44,0.85,4.51,1.95,1.51,0.18
B,C,C,B,A,B,1.59,2.22,1.18,1.8,-0.23,0.33,0.96,-1.99
B,C,C,B,A,A,-0.16,0.72,,1.36,0.15,-0.42,0.25,-2.45
C,B,D,A,B,A,2.0,0.01,0.75,0.02,-0.13,-0.75,0.35,-0.39
A,C,D,B,B,A,-0.51,0.0,,0.08,2.2,1.08,0.99,-1.52
B,A,C,B,A,B,2.37,0.78,2.34,0.6,0.99,0.32,0.2,-1.22
C,C,A,B,B,B,3.39,2.39,,0.12,0.37,-3.95,0.38,-0.06
C,C,A,B,B,A,1.44,1.15,,,7.21,0.46,1.57,0.82
B,A,C,B,A,B,3.18,0.27,,4.27,2.46,-1.12,0.44,0.92
A,B,C,B,A,B,0.93,0.0,-1.75,2.03,2.19,-1.01,1.01,-0.07
,C,A,B,A,A,1.79,0.01,1.01,0.83,2.19,1.54,0.83,-0.75
C,C,B,A,A,B,-0.24,-0.2,,1.3,-0.19,1.58,0.95,0.18
,C,B,B,A,B,1.81,0.12,2.69,0.16,1.27,-1.18,0.05,-0.47
A,C,B,B,A,B,-2.65,-0.15,1.85,0.09,-0.14,-0.52,2.93,-0.44
A,C,C,A,A,B,-0.22,-0.02,,,-0.25,-1.02,0.76,-0.62
B,B,B,B,A,B,1.93,2.74,0.29,,0.05,-1.05,0.14,0.47
B,C,B,A,B,A,0.52,-0.66,1.1,0.64,4.7,1.24,0.06,1.34
A,C,C,B,A,A,1.39,0.08,1.59,0.12,1.04,1.66,0.09,-2.68
C,A,B,A,B,A,2.59,0.0,,0.35,0.47,0.73,1.29,6.48
C,C,D,A,B,B,2.81,0.75,-1.64,0.02,-0.23,2.57,1.2,0.75
C,C,C,B,A,A,1.49,1.3,1.23,0.98,6.02,0.34,1.55,-1.17
C,C,C,B,A,A,-0.13,0.09,1.67,1.51,-0.25,0.44,0.23,0.18
,B,C,B,B,A,1.66,-0.0,-0.56,0.0,1.4,-0.88,1.95,0.91
B,A,C,B,B,B,2.08,-0.2,,0.26,-0.1,-1.2,2.58,-2.01
C,A,D,B,B,A,1.63,0.39,-0.01,4.36,-0.24,-0.99,0.32,-0.71
C,B,B,,A,B,0.69,0.06,2.38,1.03,4.36,-0.82,0.26,2.11
B,C,B,B,B,B,1.13,-0.08,-1.25,0.02,-0.11,0.73,1.0,0.67
C,A,D,B,A,A,0.27,-0.36,-1.25,0.56,2.45,-0.77,0.38,1.09
A,C,B,B,A,B,0.38,-0.0,0.2,2.4,0.46,-0.82,1.89,0.68
C,C,C,B,B,A,-0.64,0.01,,0.04,2.41,-0.08,1.42,1.46
A,A,A,B,A,A,0.9,-0.03,-0.42,,-0.08,0.27,0.29,-2.61
B,C,C,A,A,B,0.89,0.0,,0.27,-0.25,0.11,0.91,-0.81
A,C,C,B,A,A,2.43,0.27,,2.84,1.2,0.78,1.03,-1.01
A,C,D,B,A,B,2.94,0.05,,0.67,0.83,-2.23,0.66,-2.24
,B,C,A,B,A,3.69,0.96,0.9,2.09,-0.19,-0.81,0.5,-2.16
C,C,A,A,B,B,0.86,-0.0,,0.23,5.06,0.04,0.72,-1.49
,C,C,B,A,B,0.11,0.7,,0.88,-0.05,-0.02,0.11,-0.61
C,C,D,B,A,A,2.66,3.11,,0.61,0.01,0.36,1.02,-1.47
B,B,A,B,A,B,2.06,0.01,,1.49,0.35,1.22,1.02,-0.57
C,B,B,B,A,A,-0.18,0.47,1.92,6.24,1.75,0.32,0.06,2.23
B,A,B,B,A,B,0.82,0.08,0.93,0.08,0.58,-0.86,0.59,-0.57
B,B,C,B,A,A,0.92,0.6,1.76,,4.93,-0.5,0.07,0.97
B,B,C,B,A,B,-0.14,1.44,,,0.28,2.31,2.04,-0.68
