target,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
3306.0,B,C,B,B,A,B,1.81,0.81,0.01,,0.41,0.28,0.9,-1.52
3459.0,C,C,C,B,A,B,2.05,0.03,2.19,0.1,1.58,-1.06,0.94,1.21
3264.0,C,B,C,,A,B,1.44,1.13,,,-0.15,-1.97,0.88,1.83
3341.0,B,A,C,B,B,B,-0.37,0.45,,2.4,0.19,-1.7,0.49,-0.97
3291.0,A,C,C,B,B,A,0.9,0.01,,0.15,5.74,1.64,0.79,-1.57
3373.0,B,A,C,A,B,B,0.42,-0.17,,,4.41,0.46,1.35,2.14
3260.0,A,B,C,B,A,A,0.45,4.48,,0.01,-0.12,1.17,0.05,-1.25
3399.0,A,C,B,B,A,B,0.41,-0.47,0.5,0.15,1.5,-1.63,1.11,-0.02
3445.0,B,C,C,B,A,A,-1.44,-0.0,1.71,0.12,3.75,-0.63,1.38,1.3
3363.0,,C,B,B,A,B,0.79,0.16,2.25,,0.98,0.83,0.74,-2.54
3293.0,B,C,A,B,B,B,1.39,-0.11,2.08,0.2,-0.2,-0.2,0.35,-0.33
3036.0,A,B,B,B,B,B,1.06,0.03,0.31,,-0.23,-0.81,0.8,-1.37
3219.0,,A,B,A,B,B,1.36,0.27,,,1.81,0.31,1.19,1.25
3477.0,A,C,A,A,B,A,0.47,-0.11,,0.7,3.43,2.41,1.77,0.34
3787.0,C,C,C,B,A,B,1.46,0.64,,0.04,5.9,-0.45,1.48,-1.26
3250.0,A,B,C,B,A,B,0.88,0.01,0.91,0.55,0.66,-0.69,1.38,-1.43
3353.0,C,C,A,A,A,B,-0.26,0.01,,0.66,-0.23,-0.63,0.37,0.41
3292.0,C,A,D,B,B,B,-0.26,-0.02,1.57,0.02,0.06,-1.84,2.0,3.67
3155.0,C,C,B,A,A,A,2.72,0.0,0.25,0.0,-0.19,1.15,0.16,-0.5
3205.0,A,C,A,B,A,A,2.08,0.0,1.14,0.44,0.32,-0.94,1.63,0.34
3386.0,B,B,C,B,A,B,2.17,0.4,1.07,1.3,2.42,-2.75,1.19,0.91
3604.0,C,C,D,B,A,A,0.82,-0.08,0.51,10.36,-0.1,-1.72,1.64,-0.97
3476.0,C,C,B,B,A,A,-2.53,-0.81,,2.08,-0.17,-2.05,1.17,-0.06
3147.0,B,C,D,B,A,A,0.28,-0.05,1.6,0.12,2.08,-0.04,0.44,-1.36
3023.0,B,C,C,B,A,A,-1.22,-0.0,-2.1,0.03,0.94,1.44,1.32,-0.73
3579.0,C,C,B,A,A,B,1.43,-0.38,1.62,1.13,4.41,0.44,3.06,3.83
3416.0,B,A,D,,A,B,2.12,1.65,1.61,,-0.02,-1.34,1.3,-1.15
3376.0,C,C,A,A,A,A,1.52,0.0,0.06,0.19,6.22,-0.02,0.39,2.47
3442.0,A,C,C,A,A,B,0.22,-0.05,2.23,2.57,-0.25,0.56,0.1,0.31
3029.0,B,C,B,B,B,A,2.58,-0.0,,0.52,-0.23,-0.02,0.72,0.71
3290.0,C,B,C,B,A,B,0.18,0.13,,0.4,-0.2,-1.49,0.15,-0.07
3421.0,B,C,A,B,A,B,1.6,0.04,,2.7,-0.11,0.62,2.06,-1.15
3388.0,A,A,B,B,A,A,2.4,-0.09,1.12,0.94,7.56,-1.55,0.8,-1.9
3293.0,B,B,A,B,A,B,2.64,0.0,2.48,,-0.22,-1.0,0.56,0.42
3761.0,C,C,A,B,A,B,-0.05,-0.13,,2.14,9.44,-0.1,1.64,1.28
3302.0,A,A,A,B,A,B,0.11,0.39,1.46,0.01,0.29,-0.56,0.83,-1.25
3306.0,C,A,D,A,B,B,4.69,-0.06,0.33,0.36,0.26,0.58,2.04,2.38
3179.0,,C,B,A,B,B,1.5,0.01,,0.12,3.46,0.61,1.33,-0.35
3317.0,,C,A,B,A,B,2.73,0.0,,0.0,1.02,-2.16,0.32,-0.63
3333.0,B,C,A,B,B,B,0.68,0.51,,1.25,0.49,0.68,1.58,0.3
3216.0,A,C,A,B,B,B,1.82,1.73,,0.32,0.79,1.54,1.3,-2.37
3023.0,B,A,B,B,A,A,-0.62,-1.77,,0.02,1.29,2.46,1.27,0.1
2902.0,A,C,C,A,A,A,-0.18,-0.03,-2.43,0.13,0.29,-0.03,0.16,-1.62
3046.0,C,C,B,A,A,A,1.13,0.14,-0.32,0.5,0.0,2.96,0.69,1.0
2972.0,B,B,C,A,A,B,1.9,-0.06,,0.13,-0.25,-0.63,1.75,-0.46
3570.0,,C,B,B,A,B,0.63,-0.0,2.35,5.22,5.23,-1.35,1.74,0.33
3634.0,C,C,D,A,A,B,2.31,0.01,1.79,4.65,0.29,1.45,2.17,2.16
3125.0,A,C,C,B,A,A,5.44,-0.0,-0.25,0.04,0.33,0.0,2.45,-0.53
2948.0,A,B,C,A,A,A,2.07,0.05,0.03,0.0,-0.24,0.09,1.44,-1.75
3191.0,B,B,A,A,B,B,3.37,-0.08,,0.25,2.61,0.96,1.17,1.38
3156.0,B,B,A,B,B,B,1.04,0.04,,0.0,-0.24,0.01,1.3,1.59
3131.0,A,B,C,B,A,B,1.18,1.17,0.08,0.17,0.45,-0.71,0.18,-2.45
3223.0,A,C,B,A,A,B,2.2,0.0,2.94,,0.06,-0.89,0.77,-2.94
3597.0,C,A,D,B,A,B,1.56,5.73,1.26,,2.05,-1.93,0.19,-2.78
3337.0,B,B,C,B,B,A,-1.04,-0.11,,,-0.01,1.62,2.01,-1.65
3121.0,,C,A,B,A,B,3.36,1.48,-1.02,0.1,1.27,-0.21,1.72,0.61
4217.0,C,B,C,B,A,B,0.45,2.43,,0.0,15.4,-0.62,2.61,1.45
3520.0,B,A,B,B,B,B,1.18,0.0,,0.25,1.86,-0.91,3.67,2.16
3174.0,B,B,C,B,B,B,0.71,1.68,-3.15,,1.96,-0.51,0.89,-0.81
3582.0,C,A,C,A,B,B,1.32,1.5,,,0.04,0.83,0.26,0.64
3116.0,A,C,B,B,B,A,-0.79,-0.17,,0.01,0.59,-0.71,2.37,0.96
3579.0,C,B,B,B,B,A,2.3,0.19,0.53,1.88,5.01,-1.05,3.85,1.5
3387.0,C,B,D,B,B,B,1.07,2.52,,,1.03,0.96,1.49,-0.94
3371.0,B,C,B,B,A,A,0.42,0.16,0.86,0.19,-0.03,-2.91,0.22,-1.46
3098.0,A,C,C,A,A,B,1.13,-0.29,-1.54,,-0.25,-1.98,0.37,-0.29
3280.0,B,C,B,B,B,B,2.07,-0.0,-0.4,,0.37,-2.14,1.47,-1.1
2992.0,A,C,B,B,A,A,0.48,0.02,,,-0.17,1.89,2.48,-0.94
3342.0,B,C,B,B,A,A,1.92,2.33,,2.62,-0.03,-1.17,0.13,-1.44
3539.0,C,B,D,B,B,B,2.51,4.16,0.89,0.02,2.32,-0.17,0.3,-1.57
3325.0,C,A,D,B,B,B,0.28,0.04,,0.21,-0.2,-1.23,1.14,1.04
3049.0,C,C,A,B,A,A,-0.85,-0.87,-1.42,0.79,-0.01,-0.81,1.03,4.58
3235.0,C,B,C,B,B,B,2.53,0.26,-0.57,0.61,0.16,-1.76,0.71,1.01
3271.0,B,C,B,A,A,B,2.09,0.0,,0.01,-0.19,-1.58,0.07,-0.95
3512.0,C,B,B,B,A,A,0.5,-0.0,,,0.49,-0.97,1.24,1.79
3543.0,C,B,B,,A,B,1.31,0.01,,1.88,5.7,1.15,0.37,1.91
3240.0,C,B,B,B,A,A,2.16,0.57,,0.89,1.56,-0.93,0.47,-1.21
3390.0,C,A,A,B,A,A,0.3,1.36,2.44,,0.1,0.19,0.13,-1.47
3415.0,B,A,C,B,A,B,1.56,0.11,1.33,3.87,4.59,-2.47,1.89,0.33
3119.0,A,A,A,A,A,B,1.11,0.0,,1.95,-0.04,-0.54,0.92,1.45
3443.0,B,A,C,B,A,A,0.55,0.07,-0.12,0.04,5.37,2.37,0.85,0.3
3267.0,A,C,C,B,B,B,-1.19,-0.2,,,-0.04,-0.12,2.95,1.14
3104.0,A,C,B,B,B,A,1.55,-0.54,-0.9,1.71,-0.1,1.4,1.69,3.5
3326.0,,C,A,B,A,B,0.21,-0.42,,0.95,-0.25,0.48,0.3,0.44
3146.0,A,C,A,B,B,A,0.07,1.65,-1.81,0.0,-0.14,0.38,2.29,1.34
3341.0,C,B,C,A,A,A,1.01,-0.0,1.38,0.36,0.49,-0.56,0.58,1.19
3494.0,C,C,B,A,A,A,5.62,0.42,0.4,,8.9,-0.87,2.13,-0.08
3310.0,C,B,B,B,A,B,0.8,0.09,,0.01,0.54,-0.56,0.86,1.95
3052.0,A,C,B,A,A,A,-0.61,0.53,,1.98,-0.1,-1.3,2.65,-1.26
3201.0,C,C,C,A,A,A,0.71,0.0,1.24,0.0,-0.22,0.75,0.54,-0.91
3178.0,B,A,C,A,A,A,0.26,0.1,0.92,2.24,0.13,1.39,2.5,-3.33
3205.0,B,C,C,B,A,A,1.28,-0.0,-0.77,,0.78,-1.95,0.24,-1.31
3311.0,A,C,A,B,B,B,0.25,1.82,,0.14,1.99,-0.8,2.44,0.57
3076.0,A,B,C,B,B,B,0.79,0.01,-1.69,1.02,-0.24,-1.3,1.47,2.53
3245.0,B,A,B,B,A,A,0.62,-0.21,2.1,0.19,2.12,1.9,1.06,-1.0
3403.0,B,A,B,B,A,A,0.04,-0.79,,,-0.24,-2.24,2.27,0.47
3448.0,C,C,D,A,A,B,1.64,-0.0,-0.68,,0.31,-0.72,2.04,0.47
3349.0,B,C,B,B,A,A,0.25,0.0,,0.04,3.61,3.82,0.4,0.61
3163.0,C,A,B,B,B,B,0.65,0.0,-1.46,,-0.1,-0.99,0.4,4.27
3221.0,A,C,D,A,A,B,3.13,0.63,,1.03,-0.03,0.95,0.77,-4.18
3151.0,A,B,D,,A,B,-1.11,0.01,-0.07,0.75,0.47,-1.38,0.88,0.59
3118.0,C,B,B,A,A,A,0.43,-0.02,,0.27,-0.19,1.04,1.65,2.17
2841.0,A,A,D,B,B,A,-0.24,0.28,,0.14,0.45,-0.12,0.03,-2.89
3445.0,A,C,A,B,B,B,0.47,0.02,,1.82,-0.25,0.13,1.36,2.43
3458.0,B,B,B,B,B,B,2.4,-0.03,1.75,1.36,1.45,-4.01,0.02,1.95
3174.0,C,C,A,B,A,A,-0.35,-0.0,-0.83,,2.67,0.13,0.54,0.72
3530.0,,B,C,,A,B,3.64,4.99,2.4,0.19,4.17,-3.13,1.07,-2.19
3008.0,A,C,B,A,A,A,-0.95,-0.42,-0.3,0.3,0.51,-0.15,0.83,-2.21
3524.0,,C,D,B,B,B,0.86,0.01,0.81,,-0.14,-3.18,4.58,-0.09
3578.0,C,C,D,B,A,B,2.0,1.56,0.75,2.43,0.21,0.47,1.33,2.04
3073.0,C,C,B,B,A,A,0.76,0.21,-0.87,1.03,-0.18,0.17,0.01,-0.23
3421.0,B,A,B,B,B,B,-0.34,-0.19,-1.25,0.04,5.46,1.29,3.75,2.58
3477.0,C,C,C,B,A,B,3.15,0.07,,0.68,0.22,-2.7,0.87,0.55
3049.0,,B,B,B,A,A,0.67,4.28,-0.37,0.03,1.24,0.59,0.35,-1.2
3447.0,A,C,B,B,A,B,0.17,0.59,,0.82,2.68,0.83,0.62,-0.51
3055.0,A,A,A,B,B,A,-1.0,0.24,-1.08,0.15,0.02,0.15,2.13,-2.13
3618.0,A,C,B,B,A,A,-1.25,-0.03,-1.02,,10.43,1.36,3.6,0.55
3239.0,B,B,C,A,A,A,1.81,0.0,,1.24,-0.21,3.09,0.93,-2.77
3224.0,C,A,C,B,B,B,1.19,-0.05,0.66,0.26,-0.22,-0.33,0.55,1.31
3440.0,,B,C,B,A,A,0.24,-0.01,2.08,0.07,5.24,-0.64,1.66,1.0
3167.0,A,A,B,B,B,B,0.2,0.0,0.27,,6.18,0.7,0.25,-2.26
3539.0,A,B,C,B,A,B,1.42,-0.01,,0.08,9.05,-0.99,2.27,1.27
3174.0,B,A,D,B,A,A,0.62,0.03,-0.13,0.0,-0.23,2.63,1.52,-1.73
3117.0,C,B,A,A,A,B,5.11,0.12,,0.43,0.16,-3.04,0.48,7.97
3206.0,A,C,C,B,A,B,1.72,-0.0,,0.15,-0.24,-0.78,0.89,0.63
3365.0,,B,C,A,B,A,0.65,2.54,,0.45,0.78,2.82,0.36,-0.11
3469.0,A,C,B,A,A,B,0.6,-0.37,,3.33,0.8,0.74,1.13,0.77
2865.0,B,C,A,B,B,A,0.66,0.22,,1.31,0.35,0.37,0.18,-3.17
3198.0,B,C,B,A,B,B,2.11,-0.0,,0.02,1.39,-0.01,0.03,-2.41
3658.0,C,B,B,B,A,B,2.21,0.0,,,-0.24,0.74,3.78,3.83
3268.0,A,A,C,B,B,B,2.21,0.41,,1.03,-0.08,-4.39,3.04,0.99
3446.0,B,C,B,B,B,B,0.24,0.0,,1.08,1.12,-0.24,1.21,0.07
3468.0,B,B,A,B,A,B,0.22,-2.13,0.4,,2.24,0.56,1.66,3.0
3754.0,,C,C,B,B,A,0.52,9.19,,0.22,0.62,1.5,0.12,1.48
3397.0,B,B,B,B,A,B,1.09,-0.24,0.58,,0.14,0.32,0.3,2.08
3516.0,,C,A,B,A,A,0.38,-0.0,-0.75,0.05,5.65,0.08,2.47,1.63
3286.0,,C,B,B,A,A,-0.01,-0.29,,0.03,0.79,-1.01,1.69,0.17
3325.0,B,A,C,B,A,B,1.79,0.07,2.68,,0.08,0.77,0.25,0.16
3432.0,A,A,C,B,B,B,0.65,0.14,-0.75,,9.47,-2.41,0.36,-0.42
3140.0,B,B,C,A,A,B,-0.4,-0.03,1.03,0.8,2.37,0.9,0.49,1.15
3431.0,C,B,C,B,A,A,1.03,0.32,2.94,0.04,-0.21,0.54,1.12,0.83
3349.0,A,C,B,B,A,A,3.35,1.08,,1.52,1.38,0.03,0.49,-0.49
3395.0,C,A,A,B,A,A,-0.76,-0.26,1.74,4.23,1.99,-0.52,1.54,2.01
3705.0,C,C,C,B,B,B,1.14,2.22,,,5.7,-1.38,2.06,1.3
3294.0,C,C,A,A,B,B,1.73,0.1,1.63,0.32,0.06,-0.14,1.91,0.1
3410.0,C,C,B,A,B,B,1.9,-0.24,2.3,0.19,0.33,-2.59,1.99,2.27
3176.0,B,C,C,B,A,A,0.17,0.85,,0.2,-0.17,-0.92,0.79,0.74
3678.0,B,B,B,B,A,B,2.04,0.03,2.73,1.15,10.1,-0.78,1.61,1.84
3205.0,C,B,D,B,A,A,0.55,0.17,,1.66,-0.17,0.64,0.4,-0.44
3581.0,B,C,D,A,A,B,-0.13,1.32,,0.62,2.27,-3.44,2.36,-0.92
3320.0,A,C,D,A,A,B,0.66,-0.0,0.54,0.49,0.41,0.9,0.79,-2.19
3008.0,A,B,B,A,A,B,-0.1,-0.14,,0.0,0.8,0.64,0.73,0.29
3519.0,C,C,C,B,B,A,0.63,0.96,-0.96,0.09,4.31,-0.5,1.11,-0.27
3212.0,B,B,C,B,A,A,-1.13,-0.01,,,-0.25,0.25,1.07,0.59
3050.0,A,B,B,A,B,B,2.6,0.08,,0.2,-0.18,0.6,0.11,-0.53
3178.0,,B,B,B,A,A,-0.68,-0.38,7.7,0.27,-0.16,0.95,1.02,4.32
2977.0,A,A,C,A,A,A,-1.14,-0.32,-0.46,2.83,0.11,1.58,0.84,-2.17
3245.0,B,C,B,B,A,B,-0.72,0.08,2.13,0.61,-0.17,-2.57,0.98,1.01
3668.0,A,C,B,B,A,B,2.4,0.0,-0.03,0.18,9.37,-1.11,0.29,1.02
3478.0,,C,B,B,A,A,1.53,-0.03,1.27,3.17,0.73,-1.2,0.8,1.39
3375.0,C,A,D,B,B,B,1.37,0.02,,0.01,0.67,-1.5,0.23,2.57
3317.0,C,B,C,B,A,B,-0.55,-0.0,2.92,1.37,-0.24,-1.18,1.3,-0.26
3437.0,C,B,B,A,A,A,1.58,-0.0,1.32,0.07,5.66,0.5,0.7,0.31
3104.0,C,B,C,B,A,A,-1.46,-0.1,,0.87,-0.24,-1.94,2.33,-0.02
3451.0,C,C,C,A,A,B,0.23,1.12,,3.24,0.43,1.81,0.94,-1.55
3054.0,,B,C,A,A,A,0.12,0.03,-0.86,0.39,-0.22,1.28,0.8,-0.69
3163.0,A,C,B,A,A,B,1.11,-0.88,1.5,0.01,-0.22,1.85,0.22,-0.22
3439.0,C,B,D,A,A,B,2.92,0.95,-0.98,0.14,5.19,-0.47,0.75,2.29
3194.0,B,B,A,B,A,B,2.04,-0.0,1.25,0.52,0.61,1.09,0.2,-1.13
3093.0,A,C,A,A,B,A,1.54,-0.32,-0.72,0.95,0.9,0.94,1.61,0.69
3368.0,C,B,C,A,B,A,0.05,0.51,0.03,,0.38,0.7,0.26,3.14
3414.0,A,A,B,B,A,A,0.09,-0.0,1.31,0.05,6.85,2.07,2.04,-0.39
3387.0,A,C,A,B,B,B,1.49,-1.43,1.91,0.38,2.92,-1.88,3.09,-0.55
3133.0,A,C,A,B,A,A,0.15,0.0,,0.49,2.08,2.59,0.82,-0.65
3060.0,C,B,B,A,A,B,-0.53,-0.0,1.87,0.05,0.33,-1.14,0.41,0.12
3754.0,C,C,C,B,A,A,-1.2,-0.15,1.1,5.23,0.28,-1.48,0.43,0.45
3154.0,A,A,A,B,A,B,0.85,0.03,1.62,,0.22,1.56,0.29,0.57
3235.0,A,C,D,B,B,A,-0.55,-0.02,,0.94,-0.25,0.04,2.03,-0.76
3328.0,,A,B,B,B,A,0.34,0.05,-2.64,5.99,5.37,-1.66,0.78,-1.76
3264.0,A,C,C,B,B,B,1.72,0.38,0.35,0.15,-0.16,-1.97,2.0,0.23
3223.0,B,B,D,A,A,A,1.63,-0.78,,1.24,-0.25,0.47,0.08,0.3
3259.0,B,C,B,B,A,B,0.54,-0.3,0.11,0.75,2.22,-1.43,0.59,1.83
3386.0,A,A,A,B,A,A,0.69,0.08,0.77,0.41,5.88,1.42,0.49,-1.5
3283.0,A,C,D,A,A,A,-0.56,-0.0,,1.31,5.68,3.16,0.59,0.1
3467.0,,C,B,B,B,B,2.05,-0.0,,,-0.22,-1.7,0.61,3.0
3417.0,,B,C,B,A,B,0.38,0.1,,3.23,1.38,0.62,1.22,2.84
3448.0,B,A,D,B,B,B,2.68,0.66,,0.0,-0.2,-1.79,1.15,0.75
3482.0,C,C,C,B,B,A,1.45,3.92,-2.36,0.03,4.06,0.32,1.85,0.51
3371.0,A,B,A,B,A,B,1.98,-0.02,,,4.21,-2.76,0.35,-0.52
3418.0,,B,C,B,A,B,-1.89,-0.31,0.28,0.0,1.08,-0.26,2.39,1.48
3368.0,A,C,B,B,A,A,0.58,-0.06,0.11,4.27,3.32,0.31,1.56,0.38
3353.0,C,C,B,A,B,A,1.31,0.59,-3.52,0.03,-0.17,0.36,2.61,0.83
2984.0,B,A,B,A,B,A,2.82,0.0,,0.11,-0.2,2.58,1.92,0.02
3057.0,B,A,D,B,A,B,0.07,-0.25,1.38,0.05,-0.21,-2.0,1.15,3.29
3770.0,,A,C,B,A,B,2.88,0.29,3.87,1.12,7.46,-0.15,1.61,0.12
3305.0,C,A,C,B,A,B,-1.09,0.0,,0.15,0.4,-3.17,0.09,0.28
3033.0,A,C,B,A,A,A,1.04,-0.02,,1.32,-0.23,2.17,0.41,-1.19
3286.0,A,C,B,B,A,B,0.99,-0.01,2.79,0.01,1.58,-0.44,2.17,-0.43
3892.0,C,B,A,,A,B,0.47,0.02,2.58,,15.66,0.68,0.18,2.0
3197.0,B,C,B,B,A,B,-0.73,0.34,1.13,1.18,0.16,1.0,0.56,-0.26
3126.0,B,C,A,A,A,A,0.23,-0.0,0.7,1.06,-0.13,0.98,0.2,-0.09
3453.0,A,A,B,A,A,B,0.45,-0.69,1.1,5.19,0.8,-0.55,0.69,2.45
3408.0,C,C,B,B,A,B,0.87,-0.09,,0.07,2.28,-1.53,1.27,2.39
3410.0,A,A,C,B,A,B,0.58,0.45,1.64,2.65,4.96,1.32,1.19,-2.18
3483.0,B,B,B,B,A,B,1.46,0.21,0.68,4.05,3.16,0.17,0.17,0.49
3124.0,,A,C,,B,A,1.02,-0.15,0.14,0.25,3.98,-0.49,0.56,-1.57
3051.0,A,C,B,B,A,B,-0.33,-0.19,8.37,0.01,0.23,1.7,0.71,0.88
3303.0,C,C,C,A,A,B,1.81,0.87,-0.57,0.15,0.54,-3.34,0.0,-3.74
3331.0,C,C,B,B,A,A,0.52,-0.04,1.47,0.04,0.66,-1.66,0.58,0.54
3148.0,A,C,C,B,B,B,2.49,0.24,-0.14,0.59,0.59,-1.63,0.07,-1.52
3341.0,B,C,C,B,A,B,1.1,0.36,0.77,0.02,2.32,-2.12,0.36,-0.6
3198.0,C,B,B,B,B,A,3.42,0.03,1.0,,0.09,0.85,0.27,0.64
3292.0,C,C,A,A,A,A,1.57,-0.07,6.59,,0.82,-0.67,0.79,2.01
3014.0,A,A,B,B,A,A,0.86,-0.0,,0.32,3.0,-0.0,0.34,7.48
3213.0,C,B,C,B,A,A,1.56,0.12,-0.28,0.75,1.06,0.95,1.1,-2.06
3237.0,A,C,C,B,A,B,0.63,-0.76,,,0.07,-0.6,2.67,-0.54
3577.0,C,C,C,,B,B,-0.14,5.41,-1.24,0.0,1.68,-1.62,0.18,1.66
3343.0,C,C,C,B,A,A,0.32,0.02,-0.15,0.0,-0.18,-1.7,0.51,0.38
3106.0,A,C,B,B,A,B,0.75,0.0,,0.03,0.48,-1.15,1.79,-0.47
3121.0,B,A,C,B,B,A,1.57,0.68,1.17,0.01,0.38,-0.03,0.75,-0.85
3277.0,A,C,C,B,B,A,-2.91,-0.85,,5.38,4.13,0.83,0.36,-0.96
3957.0,B,C,D,B,A,A,1.67,-0.28,,1.84,7.86,-0.31,0.64,-0.33
3291.0,,B,B,A,B,B,1.09,-0.61,,0.09,2.34,0.41,0.63,0.1
2726.0,A,A,C,B,A,B,-0.87,-1.01,-1.94,0.52,-0.2,-0.99,0.29,-0.24
3062.0,A,A,B,B,B,B,1.06,-0.0,1.25,0.49,-0.05,1.47,0.17,-2.36
3280.0,B,B,C,B,A,A,-0.52,-0.01,,1.61,-0.25,0.4,0.17,-1.2
3340.0,C,A,C,B,B,B,1.23,3.46,-0.99,1.89,-0.23,1.1,3.37,1.29
3184.0,A,C,B,B,B,A,0.38,0.04,-0.92,0.04,0.75,0.64,1.52,-1.26
3033.0,A,B,C,B,A,B,1.71,0.74,-1.8,1.12,0.09,-0.38,1.32,-0.46
3597.0,,C,C,B,A,A,0.07,0.27,,0.97,6.61,0.6,0.79,0.4
3188.0,,C,C,B,B,B,0.04,0.0,0.21,,-0.19,1.09,2.82,-2.17
3194.0,A,C,B,B,A,B,0.45,0.09,-0.69,0.16,0.52,-1.47,0.25,-2.03
3236.0,A,C,D,B,A,B,0.77,0.98,1.85,,1.01,0.25,0.99,-3.2
2966.0,B,C,A,A,B,B,1.47,0.02,,0.16,-0.23,0.43,1.89,2.37
3437.0,B,A,A,B,A,A,0.57,-0.05,,1.29,8.33,4.1,0.31,2.57
3412.0,B,C,B,B,A,A,1.03,0.0,,3.0,3.07,-2.2,2.13,-2.73
3067.0,C,A,B,A,A,A,2.54,0.54,1.56,0.22,0.05,-2.34,0.03,1.37
3405.0,B,C,C,B,A,B,1.59,2.22,1.18,1.8,-0.23,0.33,0.96,-1.99
3260.0,B,C,C,B,A,B,0.18,0.04,-0.92,0.0,2.27,-2.06,0.95,-0.32
3274.0,B,B,B,A,A,B,1.36,-0.33,1.09,,2.27,0.05,0.12,1.92
3355.0,A,C,D,B,B,B,-1.78,1.15,0.25,0.19,0.2,0.2,2.99,-2.54
3378.0,B,C,C,B,B,A,2.04,0.21,-0.2,4.63,-0.23,-0.17,2.83,0.78
3235.0,A,C,B,B,A,B,0.35,-0.01,,1.49,-0.23,0.67,1.36,-1.58
3130.0,A,A,C,B,A,A,1.06,-0.0,-0.08,0.01,2.94,1.55,0.17,-0.54
3393.0,B,B,C,B,A,B,2.59,0.18,,,0.9,-1.24,0.04,-0.04
3238.0,,B,D,,A,B,1.67,0.13,,0.96,2.01,-1.43,0.74,0.98
3398.0,A,C,B,B,A,A,0.08,0.0,0.19,,-0.19,-1.87,1.3,-3.22
3473.0,C,B,B,B,A,B,2.42,0.08,,1.61,3.11,-1.53,1.91,1.96
3394.0,,B,B,B,B,B,0.76,-0.03,0.23,1.14,-0.22,-1.12,0.28,0.18
3320.0,C,B,C,A,A,A,0.02,0.07,0.1,0.07,-0.14,0.1,1.06,2.32
3244.0,B,C,C,B,B,A,0.72,0.24,-0.26,0.3,-0.03,1.3,1.57,1.06
3566.0,B,C,B,A,A,A,1.51,-0.0,,4.54,6.96,-3.3,1.79,0.26
3633.0,B,C,A,B,A,B,2.06,0.04,,8.54,6.68,1.37,0.56,-0.39
3387.0,B,A,C,B,B,A,0.73,6.16,,,0.34,1.58,0.13,-3.52
3306.0,B,C,B,B,A,B,1.11,0.04,,,0.44,0.87,2.63,0.17
3242.0,C,C,A,B,A,B,1.6,-0.0,1.41,,0.29,-0.73,0.45,-1.54
3301.0,B,C,C,A,B,B,0.74,0.44,,1.96,-0.17,-0.3,0.18,1.55
